scene,vehicle_id,interval_id,frame_start,frame_end,frame_count,support_type,identity_status,body_complete_status,boundary_status,occlusion_status,bbox_semantics,source_provenance,auto_priority,human_review_status,human_note
GM_RM011,GM_RM011:PV013,GM_RM011:PV013:CI01,294,295,2,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,direct_visual_reference;existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV013,GM_RM011:PV013:CI02,297,299,3,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV013,GM_RM011:PV013:CI03,301,303,3,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,direct_visual_reference;existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM011,GM_RM011:PV013,GM_RM011:PV013:CI04,305,305,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM017,GM_RM017:PV001,GM_RM017:PV001:CI01,129,159,31,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,HIGH,VEHICLE_NO_SAR_REFERENCE,
GM_RM017,GM_RM017:PV002,GM_RM017:PV002:CI01,154,173,20,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,HIGH,REVIEW_REQUIRED,
GM_RM017,GM_RM017:PV003,GM_RM017:PV003:CI01,162,188,27,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,HIGH,REVIEW_REQUIRED,
GM_RM017,GM_RM017:PV004,GM_RM017:PV004:CI01,169,201,33,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,HIGH,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV001,GM_RM019:PV001:CI01,1,1,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV002,GM_RM019:PV002:CI01,20,20,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV002,GM_RM019:PV002:CI02,22,23,2,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo11l_detection,LOW,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV002,GM_RM019:PV002:CI03,26,26,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV003,GM_RM019:PV003:CI01,118,121,4,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo11l_detection,LOW,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV003,GM_RM019:PV003:CI02,123,123,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,BOUNDARY_CONTACT_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV003,GM_RM019:PV003:CI03,136,136,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
GM_RM019,GM_RM019:PV004,GM_RM019:PV004:CI01,168,168,1,CONTIGUOUS_FULL_VISIBLE_STATE_ROWS,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,PRODUCER_FULL_VISIBLE_PROXY,INTERIOR_BBOX_PROXY,UNKNOWN_DIRECT_REVIEW_REQUIRED,REFERENCE_BOX_PRESENT;PROVENANCE_RETAINED,existing_yolo26l_detection,LOW,REVIEW_REQUIRED,
