segment_id,run_id,evidence_family,availability_state,evidence_role,activated_for_relational_exclusion,availability_basis,weighted_score_used,manual_reference_used
TERGS_BC5EA4947C3E28B93EB6,R01ZF,RELATIVE_ANGULAR_ORDER,PARTIALLY_OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,2/3 pair profiles have whole-segment definite raw optical order,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,3 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 3/3 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_BC5EA4947C3E28B93EB6,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,RELATIVE_ANGULAR_ORDER,OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,1/1 pair profiles have whole-segment definite raw optical order,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,2 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 1/1 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_BDFB23ADB9531057AE1C,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,RELATIVE_ANGULAR_ORDER,OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,1/1 pair profiles have whole-segment definite raw optical order,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,2 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 1/1 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_447E05427C2D6C44CC40,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,RELATIVE_ANGULAR_ORDER,UNAVAILABLE,RELATIONAL_DISCRIMINATIVE,False,0/0 pair profiles have whole-segment definite raw optical order,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,1 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,SHARED_RESPONSE_STATE,UNAVAILABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 0/0 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,BOUNDARY_CENSORING,CENSORED,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_90732AAA7ED6876C7E68,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,RELATIVE_ANGULAR_ORDER,PARTIALLY_OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,2/3 pair profiles have whole-segment definite raw optical order,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,20 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 3/3 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,TOPOLOGY_HYPOTHESIS_SET,AMBIGUOUS,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_1CFF140A9BB35DBEE86F,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,RELATIVE_ANGULAR_ORDER,PARTIALLY_OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,2/3 pair profiles have whole-segment definite raw optical order,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,20 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 3/3 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,TOPOLOGY_HYPOTHESIS_SET,AMBIGUOUS,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_4DCF92A4ED1645C80C30,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,RELATIVE_ANGULAR_ORDER,PARTIALLY_OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,2/3 pair profiles have whole-segment definite raw optical order,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,24 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 3/3 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,TOPOLOGY_HYPOTHESIS_SET,AMBIGUOUS,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_D939CE55686A60BC97A8,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,RELATIVE_ANGULAR_ORDER,PARTIALLY_OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,2/3 pair profiles have whole-segment definite raw optical order,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,23 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 3/3 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,TOPOLOGY_HYPOTHESIS_SET,AMBIGUOUS,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,RELATIVE_ANGULAR_ORDER,PARTIALLY_OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,2/3 pair profiles have whole-segment definite raw optical order,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,16 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 3/3 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,TOPOLOGY_HYPOTHESIS_SET,AMBIGUOUS,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_F01D7DE8D068D8533122,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,RELATIVE_ANGULAR_ORDER,PARTIALLY_OBSERVABLE,RELATIONAL_DISCRIMINATIVE,True,2/3 pair profiles have whole-segment definite raw optical order,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,20 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,SHARED_RESPONSE_STATE,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 1/3 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,TOPOLOGY_HYPOTHESIS_SET,AMBIGUOUS,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_2329DA3AFF8E7609BCB2,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_333C24F63385DAFD9021,R01ZF,RELATIVE_ANGULAR_ORDER,UNAVAILABLE,RELATIONAL_DISCRIMINATIVE,False,0/0 pair profiles have whole-segment definite raw optical order,False,False
TERGS_333C24F63385DAFD9021,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,3 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_333C24F63385DAFD9021,R01ZF,SHARED_RESPONSE_STATE,UNAVAILABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 0/0 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_333C24F63385DAFD9021,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_333C24F63385DAFD9021,R01ZF,BOUNDARY_CENSORING,CENSORED,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_333C24F63385DAFD9021,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_333C24F63385DAFD9021,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_333C24F63385DAFD9021,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_333C24F63385DAFD9021,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_2A1E38ABAA50E3792676,R01ZF,RELATIVE_ANGULAR_ORDER,UNAVAILABLE,RELATIONAL_DISCRIMINATIVE,False,0/0 pair profiles have whole-segment definite raw optical order,False,False
